timestamp_utc,x_mm,y_mm,z_mm,best_offset_mm,fit_used,peak_blob_score,used_wide,plane_samples
2026-08-27T08:48:43+00:00,-2.001,12.0401,16.7704,0.159272,True,1862106.0,False,2
2026-08-28T07:41:22+00:00,-0.001,11.8948,-0.0922,0.485477,True,1411199.0,False,1
2026-08-28T07:46:22+00:00,-0.001,11.8948,-0.1855,0.112452,True,1241960.0,False,2
2026-08-28T07:47:10+00:00,-0.001,11.8948,-0.3342,0.109721,True,1306379.0,False,3
2026-08-28T07:49:27+00:00,-0.001,11.8948,-0.3088,0.034431,True,1278844.0,False,4
2026-08-28T07:50:08+00:00,-0.001,11.8948,-0.2976,0.004094,True,1267210.0,False,5
2026-08-28T07:51:44+00:00,-0.001,11.8948,-0.297,0.001444,True,1288829.0,False,6
2026-08-28T07:54:36+00:00,12.5,12.5,20.4429,-1.0,False,7078951.0,False,1
2026-08-28T07:57:16+00:00,0.96,12.5,20.3504,-0.981204,True,633961.0,False,2
2026-08-28T07:58:29+00:00,0.96,12.5,20.2677,-0.818929,True,719888.0,False,3
2026-08-28T08:00:49+00:00,0.96,12.5,19.2251,0.335813,True,1259436.0,False,4
2026-08-28T08:02:26+00:00,0.96,12.5,19.2192,-0.087902,True,1496549.0,False,5
2026-08-28T08:05:38+00:00,-0.002,11.537,20.3338,0.21896,True,1066020.0,False,1
2026-08-28T08:07:41+00:00,-0.002,11.537,20.2973,0.067962,True,1259011.0,False,2
2026-08-28T08:10:19+00:00,-0.002,11.537,20.2965,-0.003598,True,1427749.0,False,3
2026-08-28T08:12:02+00:00,-0.002,11.537,20.1488,0.060023,True,1821785.0,False,4
2026-08-28T08:13:39+00:00,-0.002,11.537,20.1698,0.086238,True,1717593.0,False,5
2026-08-28T08:15:18+00:00,-0.002,11.537,20.1702,-0.00028,True,1804646.0,False,6
2026-08-28T08:22:04+00:00,-0.002,11.537,20.4034,0.120081,True,300331.0,False,1
2026-08-28T08:26:05+00:00,-0.002,11.537,20.4169,-0.124612,True,146389.0,False,1
2026-08-28T08:35:33+00:00,-1.002,11.537,20.4586,-0.221124,True,265112.0,False,1
2026-08-28T08:40:16+00:00,-1.002,11.537,20.4562,0.230091,True,254085.0,False,2
2026-08-28T08:46:29+00:00,-1.002,11.537,20.4736,0.001233,True,218558.0,False,1
2026-08-28T08:52:33+00:00,-1.002,11.537,20.4441,-0.03332,True,217721.5,False,2
2026-08-28T09:01:07+00:00,-1.002,11.537,21.0056,-0.538559,True,222452.0,False,1
2026-09-09T06:14:09+00:00,-0.653,12.4062,15.1869,-0.426711,True,562911.5,True,1
2026-09-09T08:23:41+00:00,2.5215,12.8265,11.5282,-0.4169,True,651982.5,True,1
2026-09-09T08:26:33+00:00,2.5215,12.8265,12.0315,-0.566888,True,621221.5,False,2
2026-09-09T08:42:57+00:00,2.5215,12.8265,12.604,-0.592993,True,208231.0,False,3
2026-09-09T08:44:44+00:00,2.5215,12.8265,13.1512,-0.552888,True,213982.0,False,4
2026-09-09T08:48:32+00:00,2.695,12.8265,14.5938,-0.304556,True,247502.5,False,1
2026-09-09T08:50:23+00:00,0.195,12.8265,15.136,-0.406627,True,330393.0,False,2
2026-09-09T10:47:27+00:00,-0.004,11.0,16.6896,-0.84676,True,264387.5,False,1
2026-09-09T11:05:53+00:00,-0.0045,11.0,20.1107,0.686991,True,187235.0,False,1
2026-09-09T11:11:18+00:00,-0.0045,11.0,20.7396,-0.746975,True,187759.0,False,1
2026-09-09T11:16:53+00:00,-0.0045,11.0,21.2411,0.302212,True,182657.0,False,2
2026-09-09T11:42:21+00:00,0.9955,11.0,21.2269,-1.0,False,58717.0,False,1
2026-09-10T11:36:08+00:00,-0.268,9.7072,0.4576,-0.234565,True,395426.0,False,1
2026-09-10T12:03:23+00:00,0.531,9.7072,0.8119,-0.283141,True,120388.0,False,1
2026-09-10T12:05:28+00:00,-0.269,10.5072,1.2007,0.911809,True,64848.0,False,2
2026-09-10T12:37:40+00:00,0.0,0.0,0.1637,-0.037571,True,591612.0,False,1
2026-09-11T06:16:04+00:00,-0.001,10.6781,3.9569,-0.662733,True,189024.0,False,1
2026-09-11T06:32:22+00:00,-0.001,10.6781,4.4266,-0.482932,True,206757.0,False,2
2026-09-11T06:46:18+00:00,-0.004,10.6781,20.7386,-0.117014,True,101562.0,False,1
2026-09-11T07:32:44+00:00,-1.075,12.7,21.2438,-0.809257,True,526599.0,False,1
2026-09-11T07:42:06+00:00,-1.075,12.7,21.6859,-0.470091,True,344406.0,False,2
2026-09-11T07:44:19+00:00,-11.65,12.7,22.1269,-0.344794,True,656386.0,False,3
2026-09-11T07:47:32+00:00,9.5,12.7,22.6062,-0.638717,True,481553.0,False,4
2026-09-11T07:50:54+00:00,-1.075,2.2,23.0326,-0.305874,True,408361.0,False,5
2026-09-11T07:54:25+00:00,-1.075,23.2,23.4736,-0.465445,True,519400.0,False,6
