offset_um,score,n_blobs
-342.0,98047.5,6
-343.0,110167.5,6
-344.0,113072.0,6
-345.00000000000006,109312.5,5
-346.00000000000006,110580.0,6
-347.00000000000006,97996.0,5
-348.00000000000006,111171.0,5
-349.00000000000006,111290.5,6
-350.00000000000006,113909.5,6
-351.00000000000006,114240.0,6
-352.0,114495.0,6
-353.0,107227.5,6
-354.0,109538.5,6
-355.0,105952.5,6
-356.0,96390.0,5
-357.0,100331.0,6
-358.0,103402.5,6
-359.0,110925.0,5
-360.0,111945.0,6
-361.0,110160.0,6
-362.0,110151.5,6
-363.0,107928.0,6
-364.0,107962.5,6
-365.0,90397.5,5
-366.0,109777.5,5
-367.0,109458.0,6
-368.0,95242.5,5
-369.0,101617.5,5
-370.0,106794.0,6
-371.0,107100.0,5
-372.0,104977.5,6
-373.0,108120.0,6
-374.0,95880.0,5
-375.0,111809.5,6
-376.0,106513.0,6
-377.0,116917.5,6
-378.0,107992.5,6
-379.0,102255.0,5
-380.0,115515.0,6
-381.0,103530.0,6
-382.0,113220.0,5
-383.0,117682.5,5
-384.0,116407.5,5
-385.0,112077.5,5
-386.0,107865.0,6
-387.0,105399.0,6
-388.0,122219.0,6
-389.0,112965.0,5
-390.0,108502.5,5
-391.0,113475.0,5
-392.0,124306.5,6
-393.0,125332.5,5
-394.0,112710.0,5
-395.0,124695.0,5
-396.0,126967.5,6
-397.0,124822.5,5
-398.0,129412.5,5
-399.0,128422.0,6
-400.0,130150.0,6
-401.0,126934.5,6
-402.0,131452.5,5
-403.0,120642.5,6
-404.0,130177.5,5
-405.0,137572.5,6
-406.0,135405.0,5
-407.0,132240.0,6
-408.00000000000006,132975.0,6
-409.00000000000006,121468.0,5
-410.00000000000006,128656.5,5
-411.00000000000006,166037.0,6
-412.00000000000006,162735.0,6
-413.00000000000006,121399.5,5
-414.00000000000006,118192.0,6
-415.00000000000006,110212.5,6
-416.00000000000006,106426.5,6
-417.0,118139.0,5
-418.0,120017.5,6
-419.0,120373.0,6
-420.0,122059.5,6
-421.0,118859.0,6
-422.0,105027.0,5
-423.0,117427.5,5
-424.0,114373.5,6
-425.0,117937.5,5
-426.0,116025.0,5
-427.0,88049.0,5
-428.0,116458.5,6
-429.0,114574.5,6
-430.0,106972.5,5
-431.0,108757.5,5
-432.0,104293.5,6
-433.0,124057.5,6
-434.0,123105.0,6
-435.0,124872.5,6
-436.0,127797.0,6
-437.0,133500.0,6
-438.0,130845.0,6
-439.0,127101.0,5
-440.0,131485.0,6
-441.0,135817.5,6
-442.0,132523.0,6
-443.0,135790.0,6
-444.0,127375.5,6
-445.0,118681.5,6
-446.0,126569.5,6
-447.0,123786.0,5
-448.0,160024.5,6
-449.0,161742.0,6
-450.0,155011.5,5
-451.0,147661.5,6
-452.0,159732.0,6
-453.0,162439.5,6
-454.0,131390.0,6
-455.0,128902.5,5
-456.0,131595.0,6
-457.0,128613.0,6
-458.0,128520.0,5
-459.0,129439.5,6
-460.0,120360.0,6
-461.0,131325.0,6
-462.0,136050.0,6
